Title,Rated
Star Trek: The Motion Picture,G
Valiant,G
Ponyo,G
Cats Don't Dance,G
The Princess Diaries,G
Hannah Montana: The Movie,G
Rugrats in Paris: The Movie,G
Babe,G
The Curse of the Were-Rabbit,G
Gone with the Wind,G
Winnie the Pooh,G
The Rugrats Movie,G
Finding Nemo,G
Winged Migration,G
Jimmy Neutron: Boy Genius,G
Tora! Tora! Tora!,G
Ben-Hur,G
Ice Princess,G
Hachi: A Dog's Tale,G
The Adventures of Pinocchio,G
Space Dogs,G
Waterloo,G
Muppets from Space,G
The Wiz,G
The Thief and the Cobbler,G
The Rookie,G
Darling Lili,G
Return to Never Land,G
The Jungle Book 2,G
The Tigger Movie,G
Pooh's Heffalump Movie,G
The Country Bears,G
The Greatest Story Ever Told,G
Sweet Charity,G
Doogal,G
"Monsters, Inc.",G
Zambezia,G
The Wizard of Oz,G
Thomas and the Magic Railroad,G
The Nutcracker,G
My Fair Lady,G
Beauty and the Beast,G
The Adventures of Elmo in Grouchland,G
Ramona and Beezus,G
The Pirates Who Don't Do Anything: A VeggieTales Movie,G
U2 3D,G
Barney's Great Adventure,G
Jonah: A VeggieTales Movie,G
Justin Bieber: Never Say Never,G
The Land Before Time,G
The Muppet Christmas Carol,G
Aladdin,G
High School Musical 3: Senior Year,G
The Straight Story,G
The Longest Day,G
Oliver!,G
Recess: School's Out,G
Kit Kittredge: An American Girl,G
Fiddler on the Roof,G
The Sound of Music,G
The Muppet Movie,G
The Mighty Macs,G
The Andromeda Strain,G
Mary Poppins,G
The Return of the Pink Panther,G
Doug's 1st Movie,G
1776,G
A Man for All Seasons,G
March of the Penguins,G
Beneath the Planet of the Apes,G
Pokémon 3: The Movie,G
Willy Wonka & the Chocolate Factory,G
The Black Stallion,G
Escape from the Planet of the Apes,G
Fantasia,G
Battle for the Planet of the Apes,G
Snow White and the Seven Dwarfs,G
A Lego Brickumentary,G
A Hard Day's Night,G
Benji,G
Rise of the Entrepreneur: The Search for a Better Way,G
Sunday School Musical,G
My Neighbor Totoro,G
The Oogieloves in the Big Balloon Adventure,G
Monsters University,G
Cars 2,G
The Polar Express,G
Ratatouille,G
Rio 2,G
The Hunchback of Notre Dame,G
The Emperor's New Groove,G
The Peanuts Movie,G
Toy Story 2,G
Rio,G
Mulan,G
The Shawshank Redemption,R
Spy Game,R
The Devil's Own,R
The Godfather,R
Conan the Barbarian,R
The Godfather: Part II,R
Air Force One,R
Safe House,R
It's Complicated,R
Enemy of the State,R
Enemy at the Gates,R
Collateral Damage,R
All That Jazz,R
Dredd,R
Zodiac,R
Creepshow,R
Schindler's List,R
The Expendables,R
The Hangover Part II,R
Pulp Fiction,R
Face/Off,R
Road to Perdition,R
Fight Club,R
Con Air,R
Cold Mountain,R
The Book of Eli,R
Fury,R
Conspiracy Theory,R
Swordfish,R
The Manchurian Candidate,R
The Edge,R
The Postman,R
Red Dragon,R
Exorcist: The Beginning,R
Children of Men,R
One Flew Over the Cuckoo's Nest,R
Wanted,R
The Rock,R
Goodfellas,R
Immortals,R
Charlie Wilson's War,R
Munich,R
The Matrix,R
Tears of the Sun,R
Hostage,R
Soldier,R
Se7en,R
Snake Eyes,R
Funny People,R
The Kingdom,R
Jarhead,R
Zombie Nation,R
The Silence of the Lambs,R
Ransom,R
Die Hard 2,R
Vanilla Sky,R
Olympus Has Fallen,R
We Were Soldiers,R
The Usual Suspects,R
Wolf,R
Underworld Awakening,R
The Siege,R
Léon: The Professional,R
Doom,R
Escape Plan,R
Killer Elite,R
Hard Rain,R
